lifesat,age,gender,income,social_trust,discrimination_index,work_stress,religiosity,social_activity,economic_satisfaction,wellbeing
3.0,36.0,2.0,2.0,1.25,1.9285714285714286,2.6666666666666665,3.5,6.75,4.0,2.0
5.0,68.0,2.0,4.0,1.25,2.0,2.6666666666666665,6.25,3.5,2.6666666666666665,3.25
3.0,61.0,1.0,12.0,3.0,1.7857142857142858,2.3333333333333335,2.0,6.75,3.6666666666666665,2.0
3.0,31.0,2.0,10.0,3.75,2.0,2.6666666666666665,5.5,6.25,3.0,1.75
1.0,30.0,2.0,1.0,6.75,2.0,2.6666666666666665,6.25,5.0,3.3333333333333335,2.0
5.0,20.0,2.0,2.0,1.5,2.0,2.6666666666666665,5.25,6.0,3.0,2.5
3.0,60.0,2.0,1.0,5.5,1.9285714285714286,2.6666666666666665,3.75,7.0,3.3333333333333335,2.25
4.0,39.0,1.0,13.0,3.25,1.9285714285714286,2.6666666666666665,4.25,5.5,3.0,2.25
5.0,58.0,2.0,9.0,0.75,1.7142857142857142,2.6666666666666665,3.75,6.75,3.3333333333333335,2.5
5.0,66.0,2.0,1.0,4.5,1.9285714285714286,2.6666666666666665,5.75,6.25,3.3333333333333335,2.25
4.0,27.0,2.0,1.0,0.5,2.0,2.6666666666666665,5.0,6.25,3.3333333333333335,2.0
5.0,70.0,1.0,9.0,5.75,2.0,2.3333333333333335,3.75,7.25,3.0,2.75
4.0,34.0,2.0,1.0,0.25,1.9285714285714286,2.6666666666666665,3.75,5.75,3.3333333333333335,1.75
4.0,65.0,2.0,9.0,2.0,2.0,2.5,3.5,6.0,3.3333333333333335,2.0
2.0,44.0,1.0,9.0,4.75,1.7857142857142858,3.3333333333333335,2.25,6.5,4.0,2.0
4.0,20.0,1.0,7.0,6.0,1.7142857142857142,2.6666666666666665,3.75,4.75,4.0,2.5
4.0,20.0,2.0,8.0,6.0,2.0,1.6666666666666667,4.5,7.0,2.6666666666666665,2.5
4.0,64.0,1.0,7.0,3.25,2.0,2.3333333333333335,5.25,7.25,3.0,2.25
2.0,63.0,1.0,5.0,2.5,2.0,2.6666666666666665,5.5,2.75,2.6666666666666665,1.75
3.0,32.0,1.0,9.0,0.5,1.8571428571428572,2.1666666666666665,3.0,2.25,3.0,1.75
4.0,32.0,1.0,9.0,4.75,2.0,2.8333333333333335,4.5,5.75,3.0,2.0
